A56,D6356 - N5356 - N5556 - T6556 - T6656 - N5656 - N5456 - D6456,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A57,D6357 - N5357 - N5557 - T6557 - T6657 - N5657 - N5457 - D6457,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A58,D6358 - N5358 - N5558 - T6558 - T6658 - N5658 - N5458 - D6458,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A59,D6359 - N5359 - N5559 - T6559 - T6659 - N5659 - N5459 - D6459,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A60,D6360 - N5360 - N5560 - T6560 - T6660 - N5660 - N5460 - D6460,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A61,D6361 - N5361 - N5561 - T6561 - T6661 - N5661 - N5461 - D6461,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A62,D6362 - N5362 - N5562 - T6562 - T6662 - N5662 - N5462 - D6462,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A63,D6363 - N5363 - N5563 - T6563 - T6663 - N5663 - N5463 - D6463,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A64,D6364 - N5364 - N5564 - T6564 - T6664 - N5664 - N5464 - D6464,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A65,D6365 - N5365 - N5565 - T6565 - T6665 - N5665 - N5465 - D6465,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A66,D6366 - N5366 - N5566 - T6566 - T6666 - N5666 - N5466 - D6466,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A67,D6367 - N5367 - N5567 - T6567 - T6667 - N5667 - N5467 - D6467,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A68,D6368 - N5368 - N5568 - T6568 - T6668 - N5668 - N5468 - D6468,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A69,D6369 - N5369 - N5569 - T6569 - T6669 - N5669 - N5469 - D6469,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A70,D6370 - N5370 - N5570 - T6570 - T6670 - N5670 - N5470 - D6470,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A71,D6371 - N5371 - N5571 - T6571 - T6671 - N5671 - N5471 - D6471,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A72,D6372 - N5372 - N5572 - T6572 - T6672 - N5672 - N5472 - D6472,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A73,D6373 - N5373 - N5573 - T6573 - T6673 - N5673 - N5473 - D6473,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A74,D6374 - N5374 - N5574 - T6574 - T6674 - N5674 - N5474 - D6474,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A75,D6375 - N5375 - N5575 - T6575 - T6675 - N5675 - N5475 - D6475,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A76,D6376 - N5376 - N5576 - T6576 - T6676 - N5676 - N5476 - D6476,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A77,D6377 - N5377 - N5577 - T6577 - T6677 - N5677 - N5477 - D6477,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A78,D6378 - N5378 - N5578 - T6578 - T6678 - N5678 - N5478 - D6478,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn
A80,D6380 - N5380 - N5580 - T6580 - T6680 - N5680 - N5480 - D6480,Downer EDI/CNR Changchun Railway Vehicles (China),Auburn,"Built as replacement for A2, which was scrapped after being damaged by acid spill during transfer to China"
H1,OD6901 - ONL5951 - ON5901 - OD6902,UGL Rail,Eveleigh,Prototype OSCAR H Set
H2,OD6903 - ONL5952 - ON5902 - OD6904,UGL Rail,Eveleigh
H3,OD6905 - ONL5953 - ON5903 - OD6906,UGL Rail,Eveleigh,First H Set to enter service
H4,OD6907 - ONL5954 - ON5904 - OD6908,UGL Rail,Eveleigh,Former ATP testing vehicle.
H5,OD6909 - ONL5955 - ON5905 - OD6910,UGL Rail,Eveleigh,Former ATP testing vehicle.
H6,OD6911 - ONL5956 - ON5906 - OD6912,UGL Rail,Eveleigh
H7,OD6913 - ONL5957 - ON5907 - OD6914,UGL Rail,Eveleigh
H8,OD6915 - ONL5958 - ON5908 - OD6916,UGL Rail,Eveleigh
H9,OD6917 - ONL5959 - ON5909 - OD6918,UGL Rail,Eveleigh
H10,OD6919 - ONL5960 - ON5910 - OD6920,UGL Rail,Eveleigh
H11,OD6923 - ONL5961 - ON5911 - OD6924,UGL Rail,Eveleigh
H12,OD6925 - ONL5962 - ON5912 - OD6926,UGL Rail,Eveleigh
H13,OD6927 - ONL5963 - ON5913 - OD6928,UGL Rail,Eveleigh
H14,OD6929 - ONL5964 - ON5914 - OD6930,UGL Rail,Eveleigh
H15,OD6931 - ONL5965 - ON5915 - OD6932,UGL Rail,Eveleigh
H16,OD6933 - ONL5966 - ON5916 - OD6934,UGL Rail,Eveleigh
H17,OD6935 - ONL5967 - ON5917 - OD6936,UGL Rail,Eveleigh
H18,OD6937 - ONL5968 - ON5918 - OD6938,UGL Rail,Eveleigh
H19,OD6939 - ONL5969 - ON5919 - OD6940,UGL Rail,Eveleigh
H20,OD6941 - ONL5970 - ON5920 - OD6942,UGL Rail,Eveleigh
H21,OD6943 - ONL5971 - ON5921 - OD6944,UGL Rail,Eveleigh
H22,OD6945 - ONL5972 - ON5922 - OD6946,UGL Rail,Eveleigh,Second Set repainted into the 2025 Sydney Trains Livery
H23,OD6947 - ONL5973 - ON5923 - OD6948,UGL Rail,Eveleigh,First Set repainted into the 2025 Sydney Trains Livery
H24,OD6949 - ONL5974 - ON5924 - OD6950,UGL Rail,Eveleigh
H25,OD6951 - ONL5975 - ON5925 - OD6952,UGL Rail,Eveleigh
